model_name,metric_name,score,Model,Index
deepseek,BLEU,0.36590363226399,deepseek,75
deepseek,Cosine,0.6971756280758663,deepseek,75
deepseek,Levenshtein,0.6464831804281346,deepseek,75
deepseek,BLEU,0.44799869921644714,deepseek,76
deepseek,Cosine,0.8345436013223263,deepseek,76
deepseek,Levenshtein,0.7034134007585335,deepseek,76
deepseek,BLEU,0.3617967089201362,deepseek,77
deepseek,Cosine,0.755688031343334,deepseek,77
deepseek,Levenshtein,0.6038298930614274,deepseek,77
deepseek,BLEU,0.31195939435809256,deepseek,78
deepseek,Cosine,0.6581785044615787,deepseek,78
deepseek,Levenshtein,0.6018584703359542,deepseek,78
deepseek,BLEU,0.42388572741011565,deepseek,79
deepseek,Cosine,0.42918584238491614,deepseek,79
deepseek,Levenshtein,0.4462789243277048,deepseek,79
deepseek,BLEU,0.5338849257193738,deepseek,80
deepseek,Cosine,0.847898501208958,deepseek,80
deepseek,Levenshtein,0.692757716360702,deepseek,80
deepseek,BLEU,0.32473260428729744,deepseek,81
deepseek,Cosine,0.6798725538653679,deepseek,81
deepseek,Levenshtein,0.5735939369764659,deepseek,81
deepseek,BLEU,0.42407823596648997,deepseek,82
deepseek,Cosine,0.8281894846872887,deepseek,82
deepseek,Levenshtein,0.743672157492969,deepseek,82
deepseek,BLEU,0.3297545780902069,deepseek,83
deepseek,Cosine,0.4593689733398471,deepseek,83
deepseek,Levenshtein,0.4647027600849257,deepseek,83
deepseek,BLEU,0.42660315701277735,deepseek,84
deepseek,Cosine,0.8788847309266853,deepseek,84
deepseek,Levenshtein,0.6350332594235033,deepseek,84
deepseek,BLEU,0.053321083309354124,deepseek,85
deepseek,Cosine,0.5284293961312468,deepseek,85
deepseek,Levenshtein,0.3486646884272997,deepseek,85
deepseek,BLEU,0.15899901151506582,deepseek,86
deepseek,Cosine,0.4627144054380836,deepseek,86
deepseek,Levenshtein,0.48596014492753625,deepseek,86
deepseek,BLEU,0.006897918241136521,deepseek,87
deepseek,Cosine,0.6361118420423949,deepseek,87
deepseek,Levenshtein,0.5051730288976097,deepseek,87
deepseek,BLEU,0.34605681690441886,deepseek,88
deepseek,Cosine,0.8049412963580191,deepseek,88
deepseek,Levenshtein,0.7280253226199171,deepseek,88
deepseek,BLEU,0.2569068339173611,deepseek,89
deepseek,Cosine,0.7117208158986785,deepseek,89
deepseek,Levenshtein,0.5365337844982553,deepseek,89
deepseek,BLEU,0.5716080414655412,deepseek,90
deepseek,Cosine,0.5985368693326768,deepseek,90
deepseek,Levenshtein,0.46623170516663726,deepseek,90
deepseek,BLEU,0.4866628601525132,deepseek,91
deepseek,Cosine,0.5247429173370627,deepseek,91
deepseek,Levenshtein,0.4777942264988897,deepseek,91
deepseek,BLEU,0.2377902036890997,deepseek,92
deepseek,Cosine,0.7005901298492695,deepseek,92
deepseek,Levenshtein,0.615519765739385,deepseek,92
deepseek,BLEU,0.3261372977258168,deepseek,93
deepseek,Cosine,0.8475657630568811,deepseek,93
deepseek,Levenshtein,0.6598496240601504,deepseek,93
deepseek,BLEU,0.04710339922771831,deepseek,94
deepseek,Cosine,0.7111350449607188,deepseek,94
deepseek,Levenshtein,0.5442726633872101,deepseek,94
deepseek,BLEU,0.44020846051887663,deepseek,95
deepseek,Cosine,0.5920542083336136,deepseek,95
deepseek,Levenshtein,0.5640603566529492,deepseek,95
deepseek,BLEU,0.23736493451622404,deepseek,96
